phage ,process,stage,titre,volume
øEnA02,Raw lysate,Stage 1 ,1.00E+10,1000
øEnC07,Raw lysate,Stage 1 ,1.80E+10,980
øEnC15,Raw lysate,Stage 1 ,1.00E+10,980
øNando,Raw lysate,Stage 1 ,4.75E+10,950
øTaquito,Raw lysate,Stage 1 ,3.25E+10,950
øEnA02,Raw lysate,Stage 1 ,1.10E+10,1000
øEnC07,Raw lysate,Stage 1 ,3.00E+11,980
øEnC15,Raw lysate,Stage 1 ,1.10E+10,980
øNando,Raw lysate,Stage 1 ,5.00E+10,950
øTaquito,Raw lysate,Stage 1 ,3.50E+10,950
øEnA02,Pure lysate,Stage 1 ,1.20E+10,1000
øEnC07,Pure lysate,Stage 1 ,5.80E+10,980
øEnC15,Pure lysate,Stage 1 ,8.20E+09,980
øNando,Pure lysate,Stage 1 ,5.70E+10,950
øTaquito,Pure lysate,Stage 1 ,4.70E+10,950
øEnA02,Pure lysate,Stage 1 ,1.10E+10,1000
øEnC07,Pure lysate,Stage 1 ,3.00E+11,980
øEnC15,Pure lysate,Stage 1 ,2.20E+10,980
øNando,Pure lysate,Stage 1 ,1.50E+10,950
øTaquito,Pure lysate,Stage 1 ,3.25E+10,950
øEnA02,AKTA,Stage 1 ,7.00E+10,150
øEnC07,AKTA,Stage 1 ,1.08E+11,130
øEnC15,AKTA,Stage 1 ,2.70E+10,165
øNando,AKTA,Stage 1 ,2.40E+10,150
øTaquito,AKTA,Stage 1 ,1.00E+10,140
øEnA02,AKTA,Stage 1 ,7.00E+10,150
øEnC07,AKTA,Stage 1 ,1.14E+11,130
øEnC15,AKTA,Stage 1 ,2.20E+10,165
øNando,AKTA,Stage 1 ,2.00E+10,150
øTaquito,AKTA,Stage 1 ,1.30E+10,140
øEnA02,AKTA,Stage 1 ,2.00E+10,150
øEnC07,AKTA,Stage 1 ,1.80E+11,130
øEnA02,AKTA ,Stage 1 ,62000000000,150
øEnA02,AKTA ,Stage 1 ,51000000000,150
øEnA02,AKTA ,Stage 1 ,59000000000,150
øEnA02,AKTA,Stage 1 ,56000000000,150
øEnA02,AKTA ,Stage 1 ,56000000000,150
øEnA02,AKTA ,Stage 1 ,58000000000,150
øEnA02,Cocktail,Stage 2,2.30E+09,75
øEnA02,Cocktail,Stage 2,2.00E+09,75
øEnA02,Cocktail,Stage 2,1.80E+09,75
øEnA02,Post-octanol,Stage 2,1.00E+09,50
øEnA02,Post-octanol,Stage 2,1.10E+09,50
øEnA02,Post-octanol,Stage 2,1.00E+09,50
øEnA02,Post-octanol,Stage 2,1.20E+09,50
øEnA02,Post-octanol,Stage 2,1.50E+09,50
øEnA02,Post-octanol,Stage 2,1.00E+09,50
øEnA02,Post-octanol,Stage 2,1.80E+09,50
øEnA02,Post-octanol,Stage 2,1.00E+09,50
øEnC07,AKTA,Stage 1 ,33000000000,130
øEnC07,AKTA,Stage 1 ,43000000000,130
øEnC07,AKTA,Stage 1,28000000000,130
øEnC07,AKTA,Stage 1,51000000000,130
øEnC07,AKTA,Stage 1,36000000000,130
øEnC07,AKTA,Stage 1,40000000000,130
øEnC07,Cocktail,Stage 2,4.40E+09,75
øEnC07,Cocktail,Stage 2,4.70E+09,75
øEnC07,Cocktail,Stage 2,4.40E+09,75
øEnC07,Post-octanol,Stage 2,2.60E+09,50
øEnC07,Post-octanol,Stage 2,3.00E+09,50
øEnC07,Post-octanol,Stage 2,3.20E+09,50
øEnC07,Post-octanol,Stage 2,3.10E+09,50
øEnC07,Post-octanol,Stage 2,3.20E+09,50
øEnC07,Post-octanol,Stage 2,3.70E+09,50
øEnC07,Post-octanol,Stage 2,3.90E+09,50
øEnC07,Post-octanol,Stage 2,3.80E+09,50
øEnC15,AKTA,Stage 1 ,16000000000,165
øEnC15,AKTA,Stage 1 ,22000000000,165
øEnC15,AKTA,Stage 1,19000000000,165
øEnC15,AKTA,Stage 1,29000000000,165
øEnC15,AKTA,Stage 1,18000000000,165
øEnC15,AKTA,Stage 1,18000000000,165
øEnC15,Cocktail,Stage 2,5.80E+09,75
øEnC15,Cocktail,Stage 2,5.50E+09,75
øEnC15,Cocktail,Stage 2,5.10E+09,75
øEnC15,Post-octanol,Stage 2,2.30E+09,50
øEnC15,Post-octanol,Stage 2,2.60E+09,50
øEnC15,Post-octanol,Stage 2,2.50E+09,50
øEnC15,Post-octanol,Stage 2,3.40E+09,50
øEnC15,Post-octanol,Stage 2,2.40E+09,50
øEnC15,Post-octanol,Stage 2,2.40E+09,50
øEnC15,Post-octanol,Stage 2,2.40E+09,50
øEnC15,Post-octanol,Stage 2,2.20E+09,50
øNando,AKTA,Stage 1 ,46000000000,150
øNando,AKTA,Stage 1 ,40000000000,150
øNando,AKTA,Stage 1,49000000000,150
øNando,AKTA,Stage 1,53000000000,150
øNando,AKTA,Stage 1,48000000000,150
øNando,Cocktail,Stage 2,5.00E+09,75
øNando,Cocktail,Stage 2,4.30E+09,75
øNando,Cocktail,Stage 2,5.10E+09,75
øNando,Post-octanol,Stage 2,3.30E+09,50
øNando,Post-octanol,Stage 2,3.20E+09,50
øNando,Post-octanol,Stage 2,3.00E+09,50
øNando,Post-octanol,Stage 2,4.50E+09,50
øNando,Post-octanol,Stage 2,4.00E+09,50
øNando,Post-octanol,Stage 2,5.00E+09,50
øNando,Post-octanol,Stage 2,4.90E+09,50
øNando,Post-octanol,Stage 2,4.50E+09,50
øTaquito,AKTA,Stage 1 ,65000000000,140
øTaquito,AKTA,Stage 1 ,60000000000,140
øTaquito,AKTA,Stage 1,66000000000,140
øTaquito,AKTA,Stage 1,72000000000,140
øTaquito,AKTA,Stage 1,28000000000,140
øTaquito,Cocktail,Stage 2,1.90E+09,75
øTaquito,Cocktail,Stage 2,2.00E+09,75
øTaquito,Cocktail,Stage 2,1.90E+09,75
øTaquito,Post-octanol,Stage 2,1.90E+09,50
øTaquito,Post-octanol,Stage 2,1.30E+09,50
øTaquito,Post-octanol,Stage 2,1.50E+09,50
øTaquito,Post-octanol,Stage 2,2.10E+09,50
øTaquito,Post-octanol,Stage 2,2.30E+09,50
øTaquito,Post-octanol,Stage 2,1.60E+09,50
øTaquito,Post-octanol,Stage 2,2.60E+09,50
øTaquito,Post-octanol,Stage 2,2.00E+09,50
øEnA02,packed product,Stage 2,1.70E+08,500
øEnA02,packed product,Stage 2,1.75E+08,500
øEnA02,packed product,Stage 2,2.00E+08,500
øEnC07,packed product,Stage 2,4.30E+08,500
øEnC07,packed product,Stage 2,3.60E+08,500
øEnC07,packed product,Stage 2,4.90E+08,500
øEnC15,packed product,Stage 2,4.20E+08,500
øEnC15,packed product,Stage 2,4.10E+08,500
øEnC15,packed product,Stage 2,4.20E+08,500
øNando,packed product,Stage 2,1.00E+09,500
øNando,packed product,Stage 2,1.30E+09,500
øNando,packed product,Stage 2,1.50E+09,500
øTaquito,packed product,Stage 2,2.00E+08,500
øTaquito,packed product,Stage 2,2.50E+08,500
øTaquito,packed product,Stage 2,3.00E+08,500
