Mice,Phage,Cocktail ,Sample,PFU
M7,øEnC07,Cocktail-V1,Blood,7.14E+06
M8,øEnC07,Cocktail-V1,Blood,2.14E+05
M9,øEnC07,Cocktail-V1,Blood,14.28571429
M10,øEnC07,Cocktail-V1,Blood,3.23E+06
M11,øEnC07,Cocktail-V1,Blood,3.21E+05
M12,øEnC07,Cocktail-V1,Blood,4.64E+06
M13,øEnC07,Entelli-02,Blood,3.57E+04
M14,øEnC07,Entelli-02,Blood,5.00E+06
M15,øEnC07,Entelli-02,Blood,3.57E+05
M16,øEnC07,Entelli-02,Blood,5.36E+05
M17,øEnC07,Entelli-02,Blood,1.07E+06
M18,øEnC07,Entelli-02,Blood,2.50E+06
M7,øEnC07,Cocktail-V1,Liver,1.19E+06
M8,øEnC07,Cocktail-V1,Liver,3.46E+05
M9,øEnC07,Cocktail-V1,Liver,0.00E+00
M10,øEnC07,Cocktail-V1,Liver,3.46E+06
M11,øEnC07,Cocktail-V1,Liver,1.05E+06
M12,øEnC07,Cocktail-V1,Liver,6.80E+05
M13,øEnC07,Entelli-02,Liver,3.57E+06
M14,øEnC07,Entelli-02,Liver,2.83E+06
M15,øEnC07,Entelli-02,Liver,4.61E+05
M16,øEnC07,Entelli-02,Liver,4.12E+05
M17,øEnC07,Entelli-02,Liver,5.58E+06
M18,øEnC07,Entelli-02,Liver,7.81E+05
M7,øEnC07,Cocktail-V1,Kidney,2857142.857
M8,øEnC07,Cocktail-V1,Kidney,214285.7143
M9,øEnC07,Cocktail-V1,Kidney,0
M10,øEnC07,Cocktail-V1,Kidney,680272.1088
M11,øEnC07,Cocktail-V1,Kidney,420168.0672
M12,øEnC07,Cocktail-V1,Kidney,309523.8095
M13,øEnC07,Entelli-02,Kidney,1071428.571
M14,øEnC07,Entelli-02,Kidney,2976190.476
M15,øEnC07,Entelli-02,Kidney,1587301.587
M16,øEnC07,Entelli-02,Kidney,630252.1008
M17,øEnC07,Entelli-02,Kidney,187969.9248
M18,øEnC07,Entelli-02,Kidney,1260504.202
M7,øEnC07,Cocktail-V1,Spleen,1071428.571
M8,øEnC07,Cocktail-V1,Spleen,571428.5714
M9,øEnC07,Cocktail-V1,Spleen,0
M10,øEnC07,Cocktail-V1,Spleen,10714285.71
M11,øEnC07,Cocktail-V1,Spleen,4761904.762
M12,øEnC07,Cocktail-V1,Spleen,6493506.494
M13,øEnC07,Entelli-02,Spleen,1948051.948
M14,øEnC07,Entelli-02,Spleen,1785714.286
M15,øEnC07,Entelli-02,Spleen,3896103.896
M16,øEnC07,Entelli-02,Spleen,14285714.29
M17,øEnC07,Entelli-02,Spleen,19480519.48
M18,øEnC07,Entelli-02,Spleen,1488095.238
M7,øEnA02,Cocktail-V1,Blood,42500000
M8,øEnA02,Cocktail-V1,Blood,10000000
M9,øEnA02,Cocktail-V1,Blood,70000
M10,øEnA02,Cocktail-V1,Blood,248000000
M11,øEnA02,Cocktail-V1,Blood,100000000
M12,øEnA02,Cocktail-V1,Blood,223000000
M13,øEnA02,Entelli-02,Blood,100000
M14,øEnA02,Entelli-02,Blood,12500000
M15,øEnA02,Entelli-02,Blood,425000
M16,øEnA02,Entelli-02,Blood,2500000
M17,øEnA02,Entelli-02,Blood,12500000
M18,øEnA02,Entelli-02,Blood,50000000
M7,øEnA02,Cocktail-V1,Liver,93750000
M8,øEnA02,Cocktail-V1,Liver,64516129.03
M9,øEnA02,Cocktail-V1,Liver,862068.9655
M10,øEnA02,Cocktail-V1,Liver,3225806.452
M11,øEnA02,Cocktail-V1,Liver,58823529.41
M12,øEnA02,Cocktail-V1,Liver,523809523.8
M13,øEnA02,Entelli-02,Liver,10000000
M14,øEnA02,Entelli-02,Liver,10344827.59
M15,øEnA02,Entelli-02,Liver,13709677.42
M16,øEnA02,Entelli-02,Liver,3846153.846
M17,øEnA02,Entelli-02,Liver,39062500
M18,øEnA02,Entelli-02,Liver,3937500
M7,øEnA02,Cocktail-V1,Kidney,140000000
M8,øEnA02,Cocktail-V1,Kidney,12500000
M9,øEnA02,Cocktail-V1,Kidney,4866666.667
M10,øEnA02,Cocktail-V1,Kidney,59523809.52
M11,øEnA02,Cocktail-V1,Kidney,147058823.5
M12,øEnA02,Cocktail-V1,Kidney,333333333.3
M13,øEnA02,Entelli-02,Kidney,13750000
M14,øEnA02,Entelli-02,Kidney,6944444.444
M15,øEnA02,Entelli-02,Kidney,6944444.444
M16,øEnA02,Entelli-02,Kidney,7058823.529
M17,øEnA02,Entelli-02,Kidney,3947368.421
M18,øEnA02,Entelli-02,Kidney,5882352.941
M7,øEnA02,Cocktail-V1,Spleen,125000000
M8,øEnA02,Cocktail-V1,Spleen,244444444.4
M9,øEnA02,Cocktail-V1,Spleen,769230.7692
M10,øEnA02,Cocktail-V1,Spleen,750000000
M11,øEnA02,Cocktail-V1,Spleen,125000000
M12,øEnA02,Cocktail-V1,Spleen,681818181.8
M13,øEnA02,Entelli-02,Spleen,27272727.27
M14,øEnA02,Entelli-02,Spleen,37500000
M15,øEnA02,Entelli-02,Spleen,12954545.45
M16,øEnA02,Entelli-02,Spleen,150000000
M17,øEnA02,Entelli-02,Spleen,68181818.18
M18,øEnA02,Entelli-02,Spleen,12500000
M7,øEnC15,Cocktail-V1,Blood,285714.2857
M8,øEnC15,Cocktail-V1,Blood,392857.1429
M9,øEnC15,Cocktail-V1,Blood,0
M10,øEnC15,Cocktail-V1,Blood,14285714.29
M11,øEnC15,Cocktail-V1,Blood,1428571.429
M12,øEnC15,Cocktail-V1,Blood,6071428.571
M13,øEnC15,Entelli-02,Blood,107142.8571
M14,øEnC15,Entelli-02,Blood,14285714.29
M15,øEnC15,Entelli-02,Blood,1428571.429
M16,øEnC15,Entelli-02,Blood,1428571.429
M17,øEnC15,Entelli-02,Blood,3214285.714
M18,øEnC15,Entelli-02,Blood,10714285.71
M7,øEnC15,Cocktail-V1,Liver,3422619.048
M8,øEnC15,Cocktail-V1,Liver,8064516.129
M9,øEnC15,Cocktail-V1,Liver,123152.7094
M10,øEnC15,Cocktail-V1,Liver,57603686.64
M11,øEnC15,Cocktail-V1,Liver,1323529.412
M12,øEnC15,Cocktail-V1,Liver,11904761.9
M13,øEnC15,Entelli-02,Liver,14285714.29
M14,øEnC15,Entelli-02,Liver,11083743.84
M15,øEnC15,Entelli-02,Liver,34562211.98
M16,øEnC15,Entelli-02,Liver,5494505.495
M17,øEnC15,Entelli-02,Liver,33482142.86
M18,øEnC15,Entelli-02,Liver,10089285.71
M7,øEnC15,Cocktail-V1,Kidney,4285714.286
M8,øEnC15,Cocktail-V1,Kidney,1071428.571
M9,øEnC15,Cocktail-V1,Kidney,1428571.429
M10,øEnC15,Cocktail-V1,Kidney,3401360.544
M11,øEnC15,Cocktail-V1,Kidney,5252100.84
M12,øEnC15,Cocktail-V1,Kidney,1904761.905
M13,øEnC15,Entelli-02,Kidney,19642857.14
M14,øEnC15,Entelli-02,Kidney,9920634.921
M15,øEnC15,Entelli-02,Kidney,9920634.921
M16,øEnC15,Entelli-02,Kidney,10084033.61
M17,øEnC15,Entelli-02,Kidney,5639097.744
M18,øEnC15,Entelli-02,Kidney,8403361.345
M7,øEnC15,Cocktail-V1,Spleen,2142857.143
M8,øEnC15,Cocktail-V1,Spleen,31746031.75
M9,øEnC15,Cocktail-V1,Spleen,285714.2857
M10,øEnC15,Cocktail-V1,Spleen,64285714.29
M11,øEnC15,Cocktail-V1,Spleen,8928571.429
M12,øEnC15,Cocktail-V1,Spleen,29220779.22
M13,øEnC15,Entelli-02,Spleen,25974025.97
M14,øEnC15,Entelli-02,Spleen,17857142.86
M15,øEnC15,Entelli-02,Spleen,61688311.69
M16,øEnC15,Entelli-02,Spleen,214285714.3
M17,øEnC15,Entelli-02,Spleen,129870129.9
M18,øEnC15,Entelli-02,Spleen,20833333.33
M7,øNando,Cocktail-V1,Blood,
M8,øNando,Cocktail-V1,Blood,
M9,øNando,Cocktail-V1,Blood,
M10,øNando,Cocktail-V1,Blood,
M11,øNando,Cocktail-V1,Blood,
M12,øNando,Cocktail-V1,Blood,
M13,øNando,Entelli-02,Blood,75000
M14,øNando,Entelli-02,Blood,7500000
M15,øNando,Entelli-02,Blood,500000
M16,øNando,Entelli-02,Blood,1000000
M17,øNando,Entelli-02,Blood,10000000
M18,øNando,Entelli-02,Blood,2760000
M7,øNando,Cocktail-V1,Liver,
M8,øNando,Cocktail-V1,Liver,
M9,øNando,Cocktail-V1,Liver,
M10,øNando,Cocktail-V1,Liver,
M11,øNando,Cocktail-V1,Liver,
M12,øNando,Cocktail-V1,Liver,
M13,øNando,Entelli-02,Liver,3000000
M14,øNando,Entelli-02,Liver,2586206.897
M15,øNando,Entelli-02,Liver,9677419.355
M16,øNando,Entelli-02,Liver,4807692.308
M17,øNando,Entelli-02,Liver,3125000
M18,øNando,Entelli-02,Liver,2343750
M7,øNando,Cocktail-V1,Kidney,
M8,øNando,Cocktail-V1,Kidney,
M9,øNando,Cocktail-V1,Kidney,
M10,øNando,Cocktail-V1,Kidney,
M11,øNando,Cocktail-V1,Kidney,
M12,øNando,Cocktail-V1,Kidney,
M13,øNando,Entelli-02,Kidney,7500000
M14,øNando,Entelli-02,Kidney,277777.7778
M15,øNando,Entelli-02,Kidney,2777777.778
M16,øNando,Entelli-02,Kidney,2941176.471
M17,øNando,Entelli-02,Kidney,526315.7895
M18,øNando,Entelli-02,Kidney,1029411.765
M7,øNando,Cocktail-V1,Spleen,
M8,øNando,Cocktail-V1,Spleen,
M9,øNando,Cocktail-V1,Spleen,
M10,øNando,Cocktail-V1,Spleen,
M11,øNando,Cocktail-V1,Spleen,
M12,øNando,Cocktail-V1,Spleen,
M13,øNando,Entelli-02,Spleen,6363636.364
M14,øNando,Entelli-02,Spleen,62500000
M15,øNando,Entelli-02,Spleen,68181818.18
M16,øNando,Entelli-02,Spleen,125000000
M17,øNando,Entelli-02,Spleen,45454545.45
M18,øNando,Entelli-02,Spleen,5833333.333
M7,øTaquito,Cocktail-V1,Blood,
M8,øTaquito,Cocktail-V1,Blood,
M9,øTaquito,Cocktail-V1,Blood,
M10,øTaquito,Cocktail-V1,Blood,
M11,øTaquito,Cocktail-V1,Blood,
M12,øTaquito,Cocktail-V1,Blood,
M13,øTaquito,Entelli-02,Blood,0
M14,øTaquito,Entelli-02,Blood,90000
M15,øTaquito,Entelli-02,Blood,75000
M16,øTaquito,Entelli-02,Blood,2500000
M17,øTaquito,Entelli-02,Blood,250000
M18,øTaquito,Entelli-02,Blood,500000
M7,øTaquito,Cocktail-V1,Liver,
M8,øTaquito,Cocktail-V1,Liver,
M9,øTaquito,Cocktail-V1,Liver,
M10,øTaquito,Cocktail-V1,Liver,
M11,øTaquito,Cocktail-V1,Liver,
M12,øTaquito,Cocktail-V1,Liver,
M13,øTaquito,Entelli-02,Liver,320000
M14,øTaquito,Entelli-02,Liver,310344.8276
M15,øTaquito,Entelli-02,Liver,120967.7419
M16,øTaquito,Entelli-02,Liver,769230.7692
M17,øTaquito,Entelli-02,Liver,625000
M18,øTaquito,Entelli-02,Liver,703125
M7,øTaquito,Cocktail-V1,Kidney,
M8,øTaquito,Cocktail-V1,Kidney,
M9,øTaquito,Cocktail-V1,Kidney,
M10,øTaquito,Cocktail-V1,Kidney,
M11,øTaquito,Cocktail-V1,Kidney,
M12,øTaquito,Cocktail-V1,Kidney,
M13,øTaquito,Entelli-02,Kidney,150000
M14,øTaquito,Entelli-02,Kidney,55555.55556
M15,øTaquito,Entelli-02,Kidney,55555.55556
M16,øTaquito,Entelli-02,Kidney,588235.2941
M17,øTaquito,Entelli-02,Kidney,526315.7895
M18,øTaquito,Entelli-02,Kidney,117647.0588
M7,øTaquito,Cocktail-V1,Spleen,
M8,øTaquito,Cocktail-V1,Spleen,
M9,øTaquito,Cocktail-V1,Spleen,
M10,øTaquito,Cocktail-V1,Spleen,
M11,øTaquito,Cocktail-V1,Spleen,
M12,øTaquito,Cocktail-V1,Spleen,
M13,øTaquito,Entelli-02,Spleen,909090.9091
M14,øTaquito,Entelli-02,Spleen,1000000
M15,øTaquito,Entelli-02,Spleen,1136363.636
M16,øTaquito,Entelli-02,Spleen,2500000
M17,øTaquito,Entelli-02,Spleen,2727272.727
M18,øTaquito,Entelli-02,Spleen,1250000
