Phage,Storage_Condition,days,N,PFU_per_mL,sd,se,ci
¿Nando,4C,1/12/2022,2,17500000000,3535533906,2500000000,31765511840
¿Nando,4C,31/12/2022,2,12000000000,1414213562,1000000000,12706204736
¿Nando,4C,1/3/2023,2,12000000000,1414213562,1000000000,12706204736
¿Nando,4C,30/5/2023,2,12250000000,353553390.6,250000000,3176551184
¿Nando,RT,1/12/2022,2,17500000000,3535533906,2500000000,31765511840
¿Nando,RT,31/12/2022,2,9500000000,707106781.2,500000000,6353102368
¿Nando,RT,1/3/2023,2,6500000000,707106781.2,500000000,6353102368
¿Nando,RT,30/5/2023,2,3000000000,1414213562,1000000000,12706204736
¿Taquito,4C,1/12/2022,2,6750000000,353553390.6,250000000,3176551184
¿Taquito,4C,31/12/2022,2,5500000000,707106781.2,500000000,6353102368
¿Taquito,4C,1/3/2023,2,3500000000,2121320344,1500000000,19059307104
¿Taquito,4C,30/5/2023,2,4500000000,707106781.2,500000000,6353102368
¿Taquito,RT,1/12/2022,2,7000000000,0,0,0
¿Taquito,RT,31/12/2022,2,2500000000,707106781.2,500000000,6353102368
¿Taquito,RT,1/3/2023,2,1400000000,565685424.9,400000000,5082481894
¿Taquito,RT,30/5/2023,2,1500000000,707106781.2,500000000,6353102368